num_voters,num_alternatives,has_winner
14,5,73.02%
15,5,73.54%
16,5,74.03%
17,5,75.14%
18,5,75.53%
19,5,76.55%
20,5,77.16%
21,5,77.06%
22,5,76.99%
23,5,77.53%
24,5,78.55%
25,5,78.95%
26,5,79.46%
27,5,78.78%
28,5,79.29%
29,5,79.86%
30,5,80.22%
31,5,80.8%
32,5,81.48%
33,5,80.4%
34,5,81.65%
35,5,81.46%
36,5,83.02%
37,5,82.03%
38,5,82.08%
39,5,82.57%
40,5,82.34%
41,5,82.96%
42,5,83.56%
43,5,83.84%
44,5,83.56%
45,5,83.58%
46,5,83.79%
47,5,84.5%
48,5,84.98%
49,5,84.08%
50,5,85.35%
51,5,84.45%
52,5,85.31%
53,5,85.33%
54,5,85.07%
55,5,85.52%
56,5,85.58%
57,5,85.22%
58,5,85.36%
59,5,86.52%
60,5,85.94%
61,5,85.72%
62,5,86.27%
63,5,85.86%
64,5,86.91%
65,5,86.11%
66,5,86.29%
67,5,86.61%
68,5,86.46%
69,5,87.06%
70,5,86.53%
71,5,87.07%
72,5,86.73%
73,5,88.01%
74,5,87.06%
75,5,87.61%
76,5,87.39%
77,5,87.49%
78,5,87.31%
79,5,87.61%
80,5,87.67%
81,5,87.98%
82,5,87.54%
83,5,87.7%
84,5,87.92%
85,5,87.54%
86,5,88.1%
87,5,88.49%
88,5,87.71%
89,5,88.46%
90,5,88.23%
91,5,89.46%
92,5,88.09%
93,5,88.73%
94,5,88.27%
95,5,88.53%
96,5,88.56%
97,5,88.33%
98,5,88.68%
99,5,88.57%
100,5,89.34%
2,6,35.85%
3,6,44.28%
4,6,50.46%
5,6,54.23%
6,6,57.32%
7,6,59.48%
8,6,62.65%
9,6,64.29%
10,6,65.42%
11,6,66.78%
12,6,68.12%
13,6,69.08%
14,6,69.56%
15,6,70.93%
16,6,71.56%
17,6,72.81%
18,6,72.57%
19,6,73.75%
20,6,74.24%
21,6,74.92%
22,6,74.34%
23,6,76.18%
24,6,76.08%
25,6,77.08%
26,6,76.53%
27,6,77.07%
28,6,77.22%
29,6,77.88%
30,6,78.43%
31,6,78.02%
32,6,79.19%
33,6,80.01%
34,6,79.73%
35,6,79.57%
36,6,80.04%
37,6,80.31%
38,6,80.81%
39,6,80.69%
40,6,81.02%
41,6,81.27%
42,6,80.54%
43,6,81.5%
44,6,82.41%
45,6,82.06%
46,6,81.55%
47,6,82.73%
48,6,82.95%
49,6,83.0%
50,6,82.68%
51,6,83.16%
52,6,83.38%
53,6,83.65%
54,6,83.32%
55,6,83.89%
56,6,83.62%
57,6,83.76%
58,6,84.61%
59,6,83.26%
60,6,84.23%
61,6,84.26%
62,6,83.76%
63,6,84.24%
64,6,84.61%
65,6,84.3%
66,6,84.53%
67,6,84.98%
68,6,85.12%
69,6,85.39%
70,6,84.95%
71,6,85.89%
72,6,85.33%
73,6,86.05%
74,6,85.73%
75,6,86.45%
76,6,85.79%
77,6,86.14%
78,6,86.34%
79,6,86.37%
80,6,85.8%
81,6,86.75%
82,6,87.15%
83,6,86.67%
84,6,86.6%
85,6,87.14%
86,6,86.13%
87,6,86.8%
88,6,86.58%
89,6,86.85%
90,6,86.78%
91,6,87.44%
92,6,86.74%
93,6,86.93%
94,6,87.15%
95,6,87.2%
96,6,87.2%
97,6,87.37%
98,6,87.2%
99,6,88.11%
100,6,87.6%
2,7,32.25%
3,7,41.19%
4,7,47.82%
5,7,51.97%
6,7,54.85%
7,7,57.16%
8,7,59.33%
9,7,61.41%
10,7,63.03%
11,7,64.41%
12,7,65.32%
13,7,66.54%
14,7,68.21%
15,7,67.9%
16,7,69.26%
17,7,70.02%
18,7,71.21%
19,7,71.49%
20,7,72.09%
21,7,72.62%
22,7,73.8%
23,7,74.0%
24,7,73.85%
25,7,74.74%
26,7,75.74%
27,7,75.56%
28,7,76.03%
29,7,76.78%
30,7,76.96%
31,7,76.99%
32,7,77.34%
33,7,77.72%
34,7,78.22%
35,7,78.37%
36,7,78.27%
37,7,78.85%
38,7,79.5%
39,7,79.12%
40,7,78.75%
41,7,79.22%
42,7,79.83%
43,7,79.74%
44,7,80.12%
45,7,80.78%
46,7,80.74%
47,7,81.63%
48,7,80.98%
49,7,81.18%
50,7,81.79%
51,7,81.32%
52,7,82.34%
53,7,81.75%
54,7,82.59%
55,7,81.56%
56,7,82.04%
57,7,82.72%
58,7,82.66%
59,7,83.28%
60,7,83.18%
61,7,83.15%
62,7,83.19%
63,7,83.18%
64,7,83.56%
65,7,83.82%
66,7,84.02%
