num_voters,num_alternatives,has_winner
14,5,94.63%
15,5,94.94%
16,5,95.22%
17,5,95.43%
18,5,95.15%
19,5,95.1%
20,5,95.63%
21,5,95.89%
22,5,95.8%
23,5,96.02%
24,5,96.39%
25,5,96.03%
26,5,96.31%
27,5,96.27%
28,5,96.1%
29,5,96.24%
30,5,96.48%
31,5,96.37%
32,5,96.28%
33,5,96.07%
34,5,96.56%
35,5,96.55%
36,5,96.62%
37,5,96.58%
38,5,96.87%
39,5,96.71%
40,5,97.31%
41,5,96.96%
42,5,96.91%
43,5,97.15%
44,5,97.1%
45,5,97.23%
46,5,97.29%
47,5,97.14%
48,5,96.99%
49,5,97.25%
50,5,97.25%
51,5,97.14%
52,5,97.09%
53,5,97.29%
54,5,97.57%
55,5,97.28%
56,5,97.45%
57,5,97.39%
58,5,97.4%
59,5,97.5%
60,5,97.54%
61,5,97.54%
62,5,97.62%
63,5,97.3%
64,5,97.54%
65,5,97.39%
66,5,97.66%
67,5,97.58%
68,5,97.57%
69,5,97.6%
70,5,97.72%
71,5,97.65%
72,5,97.6%
73,5,97.39%
74,5,97.81%
75,5,97.84%
76,5,97.88%
77,5,97.86%
78,5,97.69%
79,5,97.69%
80,5,97.77%
81,5,97.76%
82,5,97.9%
83,5,97.72%
84,5,97.8%
85,5,97.77%
86,5,97.98%
87,5,97.83%
88,5,97.83%
89,5,97.72%
90,5,97.81%
91,5,97.79%
92,5,97.68%
93,5,97.87%
94,5,97.96%
95,5,97.99%
96,5,98.05%
97,5,98.03%
98,5,98.09%
99,5,97.96%
100,5,98.08%
2,6,85.71%
3,6,88.21%
4,6,89.27%
5,6,90.5%
6,6,91.29%
7,6,91.76%
8,6,92.65%
9,6,92.82%
10,6,93.46%
11,6,93.16%
12,6,93.69%
13,6,94.03%
14,6,94.48%
15,6,94.43%
16,6,95.14%
17,6,94.96%
18,6,94.84%
19,6,95.13%
20,6,95.24%
21,6,94.99%
22,6,95.31%
23,6,95.33%
24,6,95.49%
25,6,95.43%
26,6,95.84%
27,6,95.77%
28,6,95.62%
29,6,96.13%
30,6,95.82%
31,6,96.17%
32,6,95.94%
33,6,95.85%
34,6,96.15%
35,6,96.41%
36,6,96.29%
37,6,96.75%
38,6,96.67%
39,6,96.57%
40,6,96.38%
41,6,96.51%
42,6,96.91%
43,6,96.41%
44,6,96.78%
45,6,96.55%
46,6,96.99%
47,6,97.13%
48,6,96.53%
49,6,97.23%
50,6,96.8%
51,6,96.95%
52,6,97.03%
53,6,96.89%
54,6,97.01%
55,6,96.94%
56,6,96.99%
57,6,97.08%
58,6,97.27%
59,6,97.08%
60,6,96.92%
61,6,97.08%
62,6,97.13%
63,6,97.17%
64,6,97.42%
65,6,97.2%
66,6,97.11%
67,6,97.49%
68,6,97.02%
69,6,97.44%
70,6,97.15%
71,6,97.22%
72,6,97.25%
73,6,97.27%
74,6,97.51%
75,6,97.43%
76,6,97.16%
77,6,97.59%
78,6,97.59%
79,6,97.57%
80,6,97.37%
81,6,97.58%
82,6,97.48%
83,6,97.65%
84,6,97.29%
85,6,97.74%
