num_voters,num_alternatives,has_winner
14,5,90.39%
15,5,91.01%
16,5,91.18%
17,5,91.57%
18,5,91.37%
19,5,91.92%
20,5,91.71%
21,5,92.09%
22,5,92.73%
23,5,92.8%
24,5,92.67%
25,5,92.88%
26,5,92.84%
27,5,93.22%
28,5,93.8%
29,5,93.75%
30,5,93.39%
31,5,93.9%
32,5,93.63%
33,5,94.07%
34,5,93.77%
35,5,93.94%
36,5,93.86%
37,5,94.14%
38,5,94.21%
39,5,94.55%
40,5,94.01%
41,5,94.17%
42,5,94.6%
43,5,94.31%
44,5,94.69%
45,5,94.89%
46,5,94.33%
47,5,94.89%
48,5,94.46%
49,5,94.22%
50,5,95.03%
51,5,95.29%
52,5,94.98%
53,5,95.12%
54,5,95.3%
55,5,95.15%
56,5,95.03%
57,5,95.55%
58,5,95.31%
59,5,94.8%
60,5,95.19%
61,5,95.83%
62,5,95.46%
63,5,95.36%
64,5,95.67%
65,5,95.51%
66,5,95.62%
67,5,95.18%
68,5,95.72%
69,5,95.78%
70,5,95.73%
71,5,95.73%
72,5,96.0%
73,5,96.35%
74,5,95.59%
75,5,95.93%
76,5,96.02%
77,5,95.92%
78,5,95.68%
79,5,96.03%
80,5,95.76%
81,5,95.93%
82,5,95.64%
83,5,96.14%
84,5,96.22%
85,5,96.5%
86,5,96.29%
87,5,96.36%
88,5,95.86%
89,5,96.1%
90,5,96.11%
91,5,96.17%
92,5,95.88%
93,5,96.18%
94,5,96.43%
95,5,96.3%
96,5,96.6%
97,5,96.18%
98,5,96.32%
99,5,96.36%
100,5,96.6%
2,6,75.12%
3,6,83.23%
4,6,84.34%
5,6,86.08%
6,6,86.69%
7,6,88.2%
8,6,88.58%
9,6,89.65%
10,6,89.9%
11,6,90.4%
12,6,91.09%
13,6,91.25%
14,6,91.95%
15,6,91.65%
16,6,91.74%
17,6,91.97%
18,6,91.96%
19,6,92.19%
20,6,92.92%
21,6,92.44%
22,6,92.8%
23,6,93.04%
24,6,93.28%
25,6,93.82%
26,6,93.74%
27,6,93.67%
28,6,94.19%
29,6,94.12%
30,6,94.37%
31,6,94.07%
32,6,94.11%
33,6,94.41%
34,6,94.18%
35,6,94.61%
36,6,94.59%
37,6,94.25%
38,6,94.76%
39,6,94.56%
40,6,94.88%
41,6,94.88%
42,6,95.14%
43,6,95.2%
44,6,95.19%
45,6,94.66%
46,6,95.0%
47,6,95.3%
48,6,95.17%
49,6,95.18%
50,6,95.63%
51,6,95.54%
52,6,95.86%
53,6,95.65%
54,6,95.92%
55,6,96.01%
56,6,95.51%
57,6,95.71%
58,6,95.64%
59,6,95.78%
60,6,96.04%
61,6,95.66%
62,6,95.97%
63,6,95.82%
64,6,95.94%
65,6,95.69%
66,6,95.9%
67,6,95.76%
68,6,96.24%
69,6,95.94%
70,6,95.94%
71,6,96.09%
72,6,96.03%
73,6,96.07%
74,6,96.25%
75,6,96.18%
76,6,95.96%
77,6,96.18%
78,6,96.21%
79,6,96.16%
80,6,96.36%
81,6,96.31%
82,6,96.45%
83,6,96.75%
84,6,96.83%
85,6,96.19%
86,6,96.49%
87,6,96.61%
88,6,96.59%
89,6,96.57%
90,6,96.55%
91,6,96.41%
92,6,96.39%
93,6,96.48%
94,6,96.92%
95,6,96.68%
96,6,96.49%
97,6,96.81%
98,6,96.33%
99,6,96.78%
100,6,96.45%
2,7,76.99%
3,7,84.18%
4,7,86.16%
5,7,86.99%
6,7,88.52%
7,7,89.26%
8,7,89.69%
9,7,89.45%
10,7,90.97%
11,7,90.81%
12,7,91.73%
13,7,91.43%
14,7,92.1%
15,7,92.34%
16,7,92.14%
17,7,92.69%
18,7,92.79%
19,7,93.06%
20,7,93.05%
21,7,93.47%
22,7,93.69%
23,7,93.41%
24,7,93.93%
25,7,93.74%
26,7,93.96%
27,7,93.7%
28,7,94.21%
29,7,94.41%
30,7,94.38%
31,7,94.81%
32,7,94.46%
33,7,94.49%
34,7,94.52%
35,7,94.96%
36,7,95.01%
37,7,95.13%
38,7,94.72%
39,7,95.26%
40,7,95.19%
41,7,94.9%
42,7,95.32%
43,7,95.47%
44,7,95.39%
45,7,95.1%
46,7,95.73%
47,7,95.75%
48,7,95.37%
49,7,95.6%
50,7,95.57%
51,7,95.84%
52,7,95.74%
53,7,95.96%
54,7,95.96%
55,7,95.59%
56,7,96.02%
57,7,96.07%
58,7,95.77%
59,7,96.1%
60,7,96.03%
61,7,95.81%
62,7,95.8%
63,7,96.15%
64,7,95.89%
65,7,96.27%
66,7,96.25%
67,7,96.31%
68,7,96.53%
69,7,96.0%
70,7,96.03%
71,7,96.56%
72,7,96.47%
73,7,96.57%
74,7,96.45%
75,7,96.44%
76,7,96.26%
77,7,96.69%
78,7,96.23%
79,7,96.44%
80,7,96.9%
81,7,96.45%
82,7,96.33%
83,7,96.57%
84,7,96.64%
85,7,96.49%
86,7,96.62%
87,7,96.63%
88,7,96.59%
89,7,96.71%
90,7,96.75%
91,7,96.75%
92,7,96.73%
93,7,96.81%
94,7,96.92%
95,7,96.45%
96,7,96.75%
97,7,96.88%
98,7,97.01%
99,7,96.94%
100,7,96.81%
2,8,78.6%
3,8,85.31%
4,8,85.96%
5,8,88.16%
6,8,88.32%
7,8,89.22%
8,8,90.07%
9,8,90.56%
10,8,91.2%
11,8,91.34%
12,8,91.76%
13,8,92.05%
14,8,92.42%
15,8,92.7%
16,8,92.74%
17,8,93.09%
18,8,93.77%
19,8,93.35%
20,8,93.31%
21,8,93.5%
22,8,93.74%
23,8,94.31%
24,8,94.6%
25,8,94.75%
26,8,94.57%
27,8,94.14%
28,8,94.48%
29,8,94.36%
30,8,94.86%
31,8,94.63%
32,8,95.05%
33,8,95.46%
34,8,95.42%
35,8,94.91%
36,8,95.42%
37,8,95.37%
38,8,95.42%
39,8,95.36%
40,8,95.58%
41,8,95.71%
42,8,95.76%
43,8,95.68%
44,8,95.98%
45,8,95.6%
46,8,95.86%
47,8,95.7%
48,8,95.96%
49,8,95.88%
50,8,96.02%
51,8,95.88%
52,8,95.88%
53,8,96.13%
54,8,96.19%
55,8,96.25%
56,8,95.99%
57,8,96.08%
58,8,96.17%
59,8,96.17%
60,8,96.55%
61,8,96.62%
62,8,96.61%
63,8,96.59%
64,8,96.47%
65,8,96.25%
66,8,96.76%
67,8,96.48%
68,8,96.26%
69,8,96.6%
70,8,96.43%
71,8,96.7%
72,8,96.27%
73,8,96.65%
74,8,96.79%
75,8,96.68%
76,8,96.8%
77,8,96.67%
78,8,96.64%
79,8,96.81%
80,8,96.72%
81,8,97.07%
82,8,96.63%
83,8,96.57%
84,8,96.92%
85,8,96.85%
86,8,96.74%
87,8,96.89%
88,8,97.05%
89,8,96.94%
90,8,96.87%
91,8,96.81%
92,8,97.22%
93,8,97.26%
94,8,96.56%
95,8,97.12%
96,8,97.11%
97,8,97.29%
98,8,97.23%
99,8,97.21%
100,8,97.32%
2,9,79.6%
3,9,86.02%
4,9,87.24%
5,9,88.56%
6,9,89.56%
7,9,90.12%
8,9,90.77%
9,9,91.4%
10,9,91.56%
11,9,92.04%
12,9,92.44%
13,9,92.8%
14,9,92.88%
15,9,93.82%
16,9,93.31%
17,9,93.21%
18,9,93.82%
19,9,94.04%
20,9,94.09%
21,9,94.42%
22,9,94.25%
23,9,94.62%
24,9,94.77%
25,9,94.48%
26,9,95.16%
27,9,94.86%
28,9,95.1%
29,9,95.11%
30,9,95.07%
31,9,95.03%
32,9,95.03%
33,9,95.45%
34,9,95.23%
35,9,95.44%
36,9,95.91%
37,9,95.43%
38,9,95.69%
39,9,95.83%
40,9,95.88%
41,9,95.45%
42,9,95.81%
43,9,95.89%
44,9,95.89%
45,9,96.16%
46,9,96.01%
47,9,96.21%
48,9,96.42%
49,9,96.12%
50,9,95.92%
51,9,96.51%
52,9,96.34%
53,9,96.37%
54,9,96.3%
55,9,96.58%
56,9,96.6%
57,9,96.39%
58,9,96.58%
59,9,96.41%
60,9,96.55%
61,9,96.33%
62,9,96.78%
63,9,96.6%
64,9,96.49%
65,9,96.58%
66,9,96.82%
67,9,96.72%
68,9,96.59%
69,9,96.86%
70,9,97.01%
71,9,96.51%
72,9,96.74%
73,9,96.46%
74,9,96.92%
75,9,96.59%
76,9,96.88%
77,9,96.98%
78,9,96.8%
79,9,96.96%
80,9,97.3%
81,9,97.1%
82,9,97.02%
83,9,97.12%
84,9,97.01%
85,9,96.99%
86,9,96.94%
87,9,97.23%
88,9,97.05%
89,9,97.35%
90,9,97.27%
91,9,97.3%
92,9,97.15%
93,9,96.97%
94,9,97.05%
95,9,97.15%
96,9,97.34%
97,9,97.32%
98,9,97.22%
99,9,97.41%
100,9,97.38%
2,10,80.08%
3,10,85.63%
4,10,87.99%
5,10,88.96%
6,10,89.77%
7,10,90.79%
8,10,91.07%
9,10,91.47%
10,10,92.21%
11,10,92.68%
12,10,92.97%
13,10,93.49%
14,10,93.29%
15,10,93.23%
16,10,93.98%
17,10,94.02%
18,10,93.99%
19,10,94.17%
20,10,94.64%
21,10,94.33%
22,10,94.94%
23,10,94.58%
24,10,95.18%
25,10,94.73%
26,10,95.22%
27,10,95.07%
28,10,95.22%
29,10,95.53%
30,10,95.4%
31,10,95.7%
32,10,95.97%
33,10,95.86%
34,10,95.73%
35,10,95.5%
36,10,95.41%
37,10,95.9%
38,10,96.14%
39,10,96.16%
40,10,96.35%
41,10,96.2%
42,10,96.43%
43,10,96.02%
44,10,96.18%
45,10,96.19%
46,10,96.38%
47,10,96.43%
48,10,96.55%
49,10,96.32%
50,10,96.69%
51,10,96.52%
52,10,96.4%
53,10,96.72%
54,10,96.74%
55,10,96.63%
56,10,96.2%
57,10,96.96%
58,10,96.83%
59,10,96.43%
60,10,96.85%
61,10,96.77%
62,10,97.05%
63,10,96.74%
64,10,96.81%
65,10,97.01%
66,10,96.95%
67,10,96.99%
68,10,96.91%
69,10,97.09%
70,10,97.13%
71,10,97.21%
72,10,97.04%
73,10,96.95%
74,10,97.07%
75,10,97.29%
76,10,97.08%
77,10,97.02%
78,10,96.94%
79,10,97.29%
80,10,97.06%
81,10,97.26%
82,10,97.2%
83,10,97.49%
84,10,96.99%
85,10,97.32%
86,10,97.45%
87,10,97.18%
88,10,97.23%
89,10,97.2%
90,10,97.18%
91,10,97.29%
92,10,97.22%
93,10,97.4%
94,10,97.44%
95,10,97.39%
96,10,97.45%
97,10,97.47%
98,10,97.47%
99,10,97.58%
100,10,97.67%
