num_voters,num_alternatives,has_winner
58,5,96.59%
59,5,96.66%
60,5,96.87%
61,5,96.55%
62,5,96.38%
63,5,96.57%
64,5,96.92%
65,5,96.75%
66,5,96.96%
67,5,96.68%
68,5,96.71%
69,5,96.97%
70,5,96.78%
71,5,96.74%
72,5,97.06%
73,5,96.7%
74,5,97.09%
75,5,97.25%
76,5,96.71%
77,5,97.17%
78,5,97.01%
79,5,97.24%
80,5,96.83%
81,5,96.73%
82,5,97.17%
83,5,97.28%
84,5,97.22%
85,5,97.26%
86,5,97.34%
87,5,97.17%
88,5,96.89%
89,5,97.14%
90,5,97.11%
91,5,97.25%
92,5,97.89%
93,5,97.13%
94,5,97.49%
95,5,97.53%
96,5,97.49%
97,5,97.51%
98,5,97.42%
99,5,97.57%
100,5,97.78%
2,6,60.63%
3,6,71.41%
4,6,78.48%
5,6,92.88%
6,6,84.67%
7,6,92.05%
8,6,88.47%
9,6,88.98%
10,6,90.22%
11,6,92.98%
12,6,91.37%
13,6,93.08%
14,6,92.62%
15,6,93.08%
16,6,92.24%
17,6,94.28%
18,6,93.5%
19,6,94.0%
20,6,94.26%
21,6,94.23%
22,6,94.33%
23,6,95.07%
24,6,94.27%
25,6,95.17%
26,6,94.73%
27,6,95.24%
28,6,95.21%
29,6,95.66%
30,6,95.55%
31,6,95.7%
32,6,96.01%
33,6,95.32%
34,6,95.79%
35,6,96.2%
36,6,95.66%
37,6,95.98%
38,6,95.92%
39,6,95.97%
40,6,95.97%
41,6,96.27%
42,6,95.91%
43,6,96.42%
44,6,96.32%
45,6,96.52%
46,6,96.2%
47,6,96.63%
48,6,96.35%
49,6,97.1%
50,6,96.58%
51,6,96.68%
52,6,96.51%
53,6,97.16%
54,6,96.6%
55,6,96.6%
56,6,96.77%
57,6,96.77%
58,6,97.06%
59,6,97.04%
60,6,96.88%
61,6,96.67%
62,6,97.03%
63,6,96.89%
64,6,96.65%
65,6,97.02%
66,6,97.03%
67,6,96.85%
68,6,97.08%
69,6,97.12%
70,6,97.17%
71,6,97.24%
72,6,97.12%
73,6,97.21%
74,6,97.5%
75,6,97.44%
76,6,97.0%
77,6,97.18%
78,6,97.11%
79,6,97.51%
80,6,97.48%
81,6,97.61%
82,6,97.1%
83,6,97.19%
84,6,97.21%
85,6,97.14%
86,6,97.57%
87,6,97.43%
88,6,97.24%
89,6,97.49%
90,6,97.58%
91,6,97.8%
92,6,97.71%
93,6,97.62%
94,6,97.43%
95,6,97.33%
96,6,97.43%
97,6,97.56%
98,6,97.35%
99,6,97.74%
100,6,97.69%
2,7,75.76%
3,7,89.77%
4,7,81.44%
5,7,90.66%
6,7,89.48%
7,7,88.83%
8,7,89.94%
9,7,91.77%
10,7,91.48%
11,7,92.55%
12,7,92.64%
13,7,92.97%
14,7,93.23%
15,7,93.24%
16,7,94.09%
17,7,94.7%
18,7,94.24%
19,7,94.8%
20,7,94.49%
21,7,94.97%
22,7,94.87%
23,7,95.31%
24,7,95.03%
25,7,95.07%
26,7,95.44%
27,7,95.84%
28,7,95.59%
29,7,95.95%
30,7,95.6%
31,7,95.89%
32,7,95.6%
33,7,95.68%
34,7,96.07%
35,7,96.14%
